dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag,observed_duration_min,estimated_distance,estimated_od_duration_min,distance_source,distance,duration_min,datetime_hour,hour,weekday,is_weekend,temperature,precipitation,snow_indicator,wind_speed,visibility,taxi_reference_price,estimated_cost,fhv_price,estimated_profit,estimated_profit_rate
B02875,2019-01-15 13:19:07,2019-01-15 14:05:47,71,108,1.0,46.66666666666666,7.22,30.3,historical_median,7.22,46.66666666666666,2019-01-15 13:00:00,13,1,0,34.6,0.0,0,6.5,10.0,31.38160158581928,19.453,25.98,6.527000000000001,0.3355266539865317
B03053,2019-01-15 18:40:01,2019-01-15 19:01:07,65,255,,21.1,3.5,13.883333333333333,historical_median,3.5,21.1,2019-01-15 18:00:00,18,1,0,33.6,0.0,0,4.9,10.0,19.5593480783114,10.573,17.99,7.416999999999998,0.7015038305116805
B02879,2019-01-16 00:17:58,2019-01-16 00:28:54,257,62,,10.933333333333334,2.8,13.7,historical_median,2.8,10.933333333333334,2019-01-16 00:00:00,0,2,0,26.1,0.0,0,4.7,10.0,13.966586960416398,7.938,12.85,4.912,0.6187956664147141
B02510,2019-01-16 10:10:58,2019-01-16 10:20:50,65,45,,9.866666666666667,1.85,6.6,historical_median,1.85,9.866666666666667,2019-01-16 10:00:00,10,2,0,31.6,0.0,0,11.5,10.0,10.96619405875333,6.653499999999999,10.09,3.4365000000000006,0.5164950777786129
B02871,2019-01-16 16:31:12,2019-01-16 16:53:18,76,63,,22.1,1.69,10.883333333333333,historical_median,1.69,22.1,2019-01-16 16:00:00,16,2,0,40.0,0.0,0,14.9,10.0,15.95984787478911,8.6715,14.68,6.0085,0.6929020354033327
B02617,2019-01-16 21:04:58,2019-01-16 21:24:59,149,188,,20.016666666666666,4.175,25.45833333333333,historical_median,4.175,20.016666666666666,2019-01-16 21:00:00,21,2,0,33.9,0.0,0,9.2,10.0,19.569749391610987,11.15425,18.0,6.845750000000001,0.6137346751238318
B02835,2019-01-17 07:14:18,2019-01-17 07:54:54,37,90,,40.6,5.805,44.675,historical_median,5.805,40.6,2019-01-17 07:00:00,7,3,0,22.9,0.0,0,5.1,10.0,26.52319258025855,16.73375,24.4,7.666249999999998,0.45813102263389843
B02207,2019-01-17 13:15:00,2019-01-17 14:34:22,33,132,,79.36666666666666,18.29,40.641666666666666,historical_median,18.29,79.36666666666666,2019-01-17 13:00:00,13,3,0,30.4,0.0,0,1.9,10.0,67.37853344140306,38.06949999999999,61.99,23.92050000000001,0.6283376456218237
B02764,2019-01-17 18:45:09,2019-01-17 19:11:58,76,91,1.0,26.816666666666663,4.815,20.975,historical_median,4.815,26.816666666666663,2019-01-17 18:00:00,18,3,0,30.3,0.0,0,6.2,10.0,22.175877798844933,13.114249999999998,18.36,5.245750000000001,0.4000038126465487
B02872,2019-01-17 22:44:28,2019-01-17 22:53:57,181,89,,9.483333333333333,3.01,14.45,historical_median,3.01,9.483333333333333,2019-01-17 22:00:00,22,3,0,29.4,0.0,0,4.1,10.0,14.941235145129804,7.918499999999999,13.75,5.831500000000001,0.7364399823198841
B02510,2019-01-18 08:40:36,2019-01-18 08:50:37,210,29,,10.016666666666667,1.0,6.016666666666667,historical_median,1.0,10.016666666666667,2019-01-18 08:00:00,8,4,0,30.5,0.0,0,5.4,10.0,9.173779939531917,5.703,8.44,2.736999999999999,0.47992284762405735
B02872,2019-01-18 13:00:55,2019-01-18 13:08:55,35,61,,8.0,2.28,14.408333333333331,historical_median,2.28,8.0,2019-01-18 13:00:00,13,4,0,38.3,0.0,0,1.5,10.0,10.25083467326898,6.811999999999999,9.43,2.6180000000000003,0.3843217850851439
B02866,2019-01-18 18:14:45,2019-01-18 18:54:05,80,100,,39.333333333333336,7.38,27.683333333333334,historical_median,7.38,39.333333333333336,2019-01-18 18:00:00,18,4,0,36.9,0.0,0,4.9,10.0,32.426266857082645,18.317,29.83,11.512999999999998,0.6285417917781295
B02872,2019-01-18 22:53:58,2019-01-18 23:01:19,256,37,,7.35,2.04,11.783333333333331,historical_median,2.04,7.35,2019-01-18 22:00:00,22,4,0,31.0,0.0,0,6.3,10.0,11.086639559025976,6.4190000000000005,10.2,3.780999999999999,0.5890325595887208
B02111,2019-01-19 06:06:14,2019-01-19 06:31:12,65,132,,24.966666666666665,17.62,37.21666666666667,historical_median,17.62,24.966666666666665,2019-01-19 06:00:00,6,5,1,27.1,0.0,0,5.5,10.0,55.52580328218096,27.507,51.08,23.572999999999997,0.856981859163122
B02764,2019-01-19 13:33:21,2019-01-19 13:42:19,67,22,,8.966666666666667,1.63,9.975,historical_median,1.63,8.966666666666667,2019-01-19 13:00:00,13,5,1,38.0,0.0,0,10.1,10.0,9.746963901971348,6.238499999999999,8.97,2.7315000000000014,0.4378456359701854
B02510,2019-01-19 18:57:14,2019-01-19 19:08:32,189,65,,11.3,1.44,10.116666666666667,historical_median,1.44,11.3,2019-01-19 18:00:00,18,5,1,36.9,0.0,0,8.9,10.0,10.96640244230148,6.44,10.09,3.6499999999999995,0.5667701863354037
B02395,2019-01-19 22:16:01,2019-01-19 22:25:50,123,150,,9.816666666666666,2.79,16.566666666666666,historical_median,2.79,9.816666666666666,2019-01-19 22:00:00,22,5,1,37.5,0.031,0,14.4,10.0,13.37605825734665,7.7255,12.31,4.5845,0.5934243738269368
B02510,2019-01-20 02:44:17,2019-01-20 02:54:15,112,49,,9.966666666666669,3.69,14.391666666666666,historical_median,3.69,9.966666666666669,2019-01-20 02:00:00,2,6,1,40.4,0.114,0,19.8,10.0,16.080090713186156,8.7875,14.79,6.0024999999999995,0.6830725462304409
B02884,2019-01-20 11:44:36,2019-01-20 11:56:18,52,106,,11.7,1.4,7.866666666666666,historical_median,1.4,11.7,2019-01-20 11:00:00,11,6,1,48.0,0.071,0,9.8,10.0,10.5856036870162,6.465999999999999,9.74,3.274000000000001,0.5063408598824624
B02510,2019-01-20 17:13:35,2019-01-20 17:22:12,112,80,3.0,8.616666666666667,1.205,7.216666666666667,historical_median,1.205,8.616666666666667,2019-01-20 17:00:00,17,6,1,27.0,0.0,0,23.2,10.0,9.595325686949735,5.68675,8.83,3.14325,0.5527322284257264
B02869,2019-01-20 21:49:38,2019-01-20 22:05:10,97,257,,15.533333333333331,3.13,16.183333333333334,historical_median,3.13,15.533333333333331,2019-01-20 21:00:00,21,6,1,16.4,0.0,0,20.8,10.0,15.906144043098656,9.145499999999998,14.63,5.484500000000002,0.5996938384998091
B02887,2019-01-21 06:24:40,2019-01-21 06:32:08,155,149,,7.466666666666667,2.55,15.233333333333334,historical_median,2.55,7.466666666666667,2019-01-21 06:00:00,6,0,0,8.2,0.0,0,19.2,10.0,11.65325961452287,7.026499999999999,10.72,3.693500000000002,0.5256528855048748
B02947,2019-01-21 12:00:00,2019-01-21 12:13:27,37,260,,13.45,4.734807655005619,16.784323073879488,centroid_fallback,4.734807655005619,13.45,2019-01-21 12:00:00,12,0,0,8.3,0.0,0,22.7,10.0,18.260360582711357,10.61602880325646,16.8,6.18397119674354,0.5825126618765966
B02870,2019-01-21 17:26:32,2019-01-21 17:36:51,17,36,,10.316666666666666,2.41,14.2,historical_median,2.41,10.316666666666666,2019-01-21 17:00:00,17,0,0,11.8,0.0,0,25.8,10.0,12.50969828095549,7.3785,11.51,4.1315,0.5599376567052924
B02617,2019-01-21 22:48:31,2019-01-21 22:57:45,181,62,,9.233333333333333,2.0,12.266666666666666,historical_median,2.0,9.233333333333333,2019-01-21 22:00:00,22,0,0,11.3,0.0,0,18.4,10.0,11.754608436327974,6.712,10.81,4.098000000000001,0.6105482717520859
B02864,2019-01-22 08:11:03,2019-01-22 08:52:01,40,186,,40.96666666666667,6.125,26.34166666666667,historical_median,6.125,40.96666666666667,2019-01-22 08:00:00,8,1,0,13.5,0.0,0,12.2,10.0,31.155700938389504,17.167749999999998,28.66,11.492250000000002,0.6694092120400171
B00254,2019-01-22 14:56:16,2019-01-22 16:19:39,222,237,,83.38333333333334,12.412361407985808,44.00032676325059,centroid_fallback,12.412361407985808,83.38333333333334,2019-01-22 14:00:00,14,1,0,26.7,0.0,0,8.1,10.0,53.228502354979085,32.03321561918368,48.97,16.93678438081632,0.5287257009150657
B01386,2019-01-22 19:35:00,2019-01-22 19:55:00,37,76,,20.0,3.97,25.65,historical_median,3.97,20.0,2019-01-22 19:00:00,19,1,0,28.5,0.0,0,1.4,10.0,19.006630693884794,10.9155,17.49,6.574499999999999,0.6023086436718427
B00823,2019-01-23 01:14:00,2019-01-23 01:30:29,228,257,,16.483333333333334,2.37,12.066666666666666,historical_median,2.37,16.483333333333334,2019-01-23 01:00:00,1,2,0,29.1,0.0,0,10.5,10.0,15.463306326407046,8.4425,14.23,5.7875,0.6855196920343499
B02510,2019-01-23 10:14:25,2019-01-23 10:31:53,149,165,,17.466666666666665,1.61,10.483333333333333,historical_median,1.61,17.466666666666665,2019-01-23 10:00:00,10,2,0,33.6,0.0,0,9.8,10.0,13.525661150977516,7.7455,12.44,4.6945,0.6060938609515202
B02867,2019-01-23 16:18:15,2019-01-23 16:23:38,111,181,,5.383333333333334,1.23,6.133333333333334,historical_median,1.23,5.383333333333334,2019-01-23 16:00:00,16,2,0,43.1,0.0,0,14.6,10.0,8.719856855055266,5.133500000000001,8.02,2.886499999999999,0.5622869387357551
B02765,2019-01-23 21:04:29,2019-01-23 21:23:23,76,108,,18.9,11.59,29.33333333333333,historical_median,11.59,18.9,2019-01-23 21:00:00,21,2,0,45.0,0.0,0,12.5,10.0,36.62037968948962,19.4805,33.69,14.209499999999998,0.7294217294217293
B02869,2019-01-24 07:15:42,2019-01-24 07:24:38,21,26,,8.933333333333334,2.06,15.583333333333332,historical_median,2.06,8.933333333333334,2019-01-24 07:00:00,7,3,0,51.9,0.071,0,20.7,10.0,10.567425067294035,6.726999999999999,9.72,2.993000000000001,0.4449234428422776
